"","taxon","parent","count","count_norm","avg","tax_name","tax_rank","tax_color"
"ubiome_bacteriacounts.135","255727","84999","119","1851",NA,"Coriobacterineae","suborder",NA
"ubiome_bacteriacounts.136","84107","255727","119","1851",NA,"Coriobacteriaceae","family",NA
"ubiome_bacteriacounts.137","325821","84374","111","1726",NA,"Prevotella sp. oral clone ASCD07","species",NA
"ubiome_bacteriacounts.138","28126","838","101","1571",NA,"Prevotella buccae","species",NA
"ubiome_bacteriacounts.139","135036","135034","96","1493",NA,"Dialister sp. oral clone BS095","species",NA
"ubiome_bacteriacounts.140","135034","39948","96","1493",NA,"environmental samples","no_rank",NA
"ubiome_bacteriacounts.141","163552","84372","94","1462",NA,"Eubacterium sp. oral clone EI074","species",NA
"ubiome_bacteriacounts.142","341694","1257","89","1384",NA,"Peptostreptococcus stomatis","species",NA
"ubiome_bacteriacounts.143","189723","838","85","1322",NA,"Prevotella micans","species",NA
"ubiome_bacteriacounts.144","157","137","84","1306",NA,"Treponema","genus",NA
"ubiome_bacteriacounts.145","137","136","84","1306",NA,"Spirochaetaceae","family",NA
"ubiome_bacteriacounts.146","136","203692","84","1306",NA,"Spirochaetales","order",NA
"ubiome_bacteriacounts.147","203692","203691","84","1306",NA,"Spirochaetia","class",NA
"ubiome_bacteriacounts.148","203691","2","84","1306",NA,"Spirochaetes","phylum",NA
"ubiome_bacteriacounts.149","906","31977","83","1291",NA,"Megasphaera","genus",NA
"ubiome_bacteriacounts.150","1018","1016","82","1275",NA,"Capnocytophaga ochracea","species",NA
"ubiome_bacteriacounts.151","186827","186826","80","1244",NA,"Aerococcaceae","family",NA
"ubiome_bacteriacounts.152","224768","224767","80","1244",NA,"Abiotrophia sp. oral clone P4PA_155 P1","species",NA
"ubiome_bacteriacounts.153","224767","46123","80","1244",NA,"environmental samples","no_rank",NA
"ubiome_bacteriacounts.154","46123","186827","80","1244",NA,"Abiotrophia","genus",NA
"ubiome_bacteriacounts.155","395087","237","77","1198",NA,"Flavobacterium ceti","species",NA
"ubiome_bacteriacounts.156","237","49546","77","1198",NA,"Flavobacterium","genus",NA
"ubiome_bacteriacounts.157","519017","133925","75","1166",NA,"Olsenella sp. F0004","species",NA
"ubiome_bacteriacounts.158","133925","84107","75","1166",NA,"Olsenella","genus",NA
"ubiome_bacteriacounts.159","194197","482","74","1151",NA,"Neisseria dentiae","species",NA
"ubiome_bacteriacounts.160","163579","139043","69","1073",NA,"Bacteroides sp. oral clone BU045","species",NA
"ubiome_bacteriacounts.161","139043","816","69","1073",NA,"environmental samples","no_rank",NA
"ubiome_bacteriacounts.162","816","815","69","1073",NA,"Bacteroides","genus",NA
"ubiome_bacteriacounts.163","163591","84372","68","1058",NA,"Eubacterium sp. oral clone DO016","species",NA
"ubiome_bacteriacounts.164","538999","186802","64","995",NA,"Clostridiales incertae sedis","no_rank",NA
"ubiome_bacteriacounts.165","2323","2","63","980",NA,"unclassified Bacteria","no_rank",NA
"ubiome_bacteriacounts.166","543314","538999","62","964",NA,"Clostridiales Family XIII. Incertae Sedis","family",NA
"ubiome_bacteriacounts.167","43996","186803","58","902",NA,"Catonella","genus",NA
"ubiome_bacteriacounts.168","163545","135028","58","902",NA,"Catonella sp. oral clone BR063","species",NA
"ubiome_bacteriacounts.169","135028","43996","58","902",NA,"environmental samples","no_rank",NA
"ubiome_bacteriacounts.170","242686","129591","57","887",NA,"Actinomyces sp. oral clone GU009","species",NA
"ubiome_bacteriacounts.171","286","135621","50","778",NA,"Pseudomonas","genus",NA
"ubiome_bacteriacounts.172","135621","72274","50","778",NA,"Pseudomonadaceae","family",NA
"ubiome_bacteriacounts.173","72274","1236","50","778",NA,"Pseudomonadales","order",NA
"ubiome_bacteriacounts.174","1048429","286","50","778",NA,"Pseudomonas sp. CB113","species",NA
"ubiome_bacteriacounts.175","49928","2323","47","731",NA,"unclassified Bacteria (miscellaneous)","no_rank",NA
"ubiome_bacteriacounts.176","110422","49928","45","700",NA,"human oral bacterium C73","species",NA
"ubiome_bacteriacounts.177","1123820","838","44","684",NA,"Prevotella sp. SEQ072","species",NA
"ubiome_bacteriacounts.178","28211","1224","44","684",NA,"Alphaproteobacteria","class",NA
"ubiome_bacteriacounts.179","32257","481","43","669",NA,"Kingella","genus",NA
"ubiome_bacteriacounts.180","1279","90964","41","638",NA,"Staphylococcus","genus",NA
"ubiome_bacteriacounts.181","134213","1016","41","638",NA,"environmental samples","no_rank",NA
"ubiome_bacteriacounts.182","1380","84107","41","638",NA,"Atopobium","genus",NA
"ubiome_bacteriacounts.183","134216","134213","41","638",NA,"Capnocytophaga sp. oral clone BB167","species",NA
"ubiome_bacteriacounts.184","90964","1385","41","638",NA,"Staphylococcaceae","family",NA
"ubiome_bacteriacounts.185","1383","1380","41","638",NA,"Atopobium rimae","species",NA
"ubiome_bacteriacounts.186","1213720","186803","38","591",NA,"Stomatobaculum","genus",NA
"ubiome_bacteriacounts.187","796942","1213720","38","591",NA,"Stomatobaculum longum","species",NA
"ubiome_bacteriacounts.188","1297","2","37","575",NA,"Deinococcus-Thermus","phylum",NA
"ubiome_bacteriacounts.189","143393","543314","35","544",NA,"[Eubacterium] sulci","species",NA
